证券代码,时间,舞弊标签,流动比率,速动比率,资产负债率,权益乘数,总资产净利润率(ROA)A,净资产收益率（ROE）A,营业净利率,营业毛利率,总资产周转率A,应收账款周转率A,存货周转率A,异常经营活动现金流量,现金比率,营业收入增长率A,净利润增长率A,总资产增长率A,无形资产比率,固定资产比率,管理费用率,财务费用率
23,2014,0,1.267789,0.855503,0.711966,3.471807,0.010221,0.035487,0.013793,0.125324,0.741081,1.78582,2.2429230000000002,-0.0637,0.083135,0.142365,-0.966935,0.095983,0.006581,0.083496,0.064632,0.015175
26,2014,0,1.830846,0.387516,0.552603,2.235152,0.039943,0.089279,0.044569,0.373208,0.896211,9.332076,0.962941,0.0768,0.077707,-0.07322,-0.523414,0.027841,0.009706,0.088505,0.063588,0.03228
27,2014,0,0.868368,0.780677,0.470503,1.888586,0.060771,0.11477,0.186798,0.259866,0.325328,4.971459,7.38404,-0.0129,0.407663,-0.106942,0.031134,0.151164,0.088465,0.379115,0.040186,0.048383
39,2014,0,1.060902,0.666966,0.689185,3.217353,0.034564,0.111206,0.043298,0.161291,0.79829,6.103486,3.503697,0.0366,0.068937,0.169048,0.391458,0.208939,0.049624,0.217042,0.066454,0.007409
50,2014,0,1.077002,0.761271,0.454445,1.832997,0.043774,0.080238,0.073686,0.186529,0.594065,3.888931,5.030054,0.0814,0.16966,-0.311382,0.157302,0.329951,0.037851,0.498074,0.107351,0.020025
70,2014,0,1.465261,0.995483,0.51634,2.067569,0.02715,0.056135,0.037011,0.18752,0.733571,2.615316,2.817267,0.0109,0.232607,0.432718,-0.358587,0.148166,0.029852,0.183611,0.07986,0.004332
100,2014,0,1.156411,0.959998,0.710795,3.45775,0.045574,0.157582,0.041896,0.175669,1.08777,7.59111,8.83793,0.0045,0.220673,0.251808,0.185223,0.1895,0.024155,0.218043,0.060269,0.009409
153,2014,0,1.009927,0.739468,0.487414,1.95089,0.018376,0.035849,0.024201,0.265003,0.759294,4.162658,4.918813,-0.0627,0.178866,0.03619,-0.696344,0.087151,0.071623,0.273039,0.085871,0.017446
159,2014,0,3.079577,1.977025,0.264477,1.359577,0.044666,0.060726,0.112679,0.109143,0.396395,9.022492,1.507712,0.0485,0.595668,-0.60728,0.030897,-0.004941,0.034564,0.081721,0.077608,0.026475
400,2014,0,2.456265,1.975502,0.422345,1.731138,0.119463,0.206807,0.154233,0.343777,0.774559,1.334992,2.954797,-0.0781,0.189476,0.90235,0.742761,0.039033,0.00713,0.09536,0.093975,0.005646
404,2014,0,1.277494,1.033175,0.591573,2.448418,0.043844,0.107348,0.04135,0.166238,1.060317,5.831404,6.287002,0.0784,0.296883,-0.08499,-0.077404,0.037565,0.022938,0.177803,0.081583,-0.000882
407,2014,0,1.101509,0.810683,0.506253,2.025329,0.012915,0.026158,0.018448,0.083239,0.700085,9.054137,5.320646,-0.0508,0.282205,0.114594,-0.791923,0.154223,0.045605,0.104284,0.03982,0.027123
418,2014,0,1.575701,1.478276,0.54779,2.211364,0.069512,0.153717,0.073196,0.258855,0.949672,12.61669,13.22204,0.1157,0.243999,0.079038,-0.101045,0.233587,0.017822,0.093684,0.04084,-0.001375
513,2014,0,1.186092,0.868585,0.440964,1.788793,0.075812,0.135611,0.099855,0.613488,0.759213,5.167567,2.528569,0.0377,0.265668,-0.045359,-0.273499,0.112184,0.035368,0.403085,0.083785,0.003721
519,2014,0,2.927443,1.604432,0.187715,1.231096,0.080628,0.099261,0.1944,0.362413,0.414754,4.894142,1.151954,-0.0643,0.636222,0.226857,0.708943,-0.002096,0.035679,0.331902,0.088573,0.010483
521,2014,0,1.37828,1.027392,0.61834,2.620133,0.031125,0.081552,0.026048,0.235082,1.194893,9.278469,4.663258,-0.0326,0.525783,-0.18928,-0.220091,0.057127,0.062367,0.135838,0.043499,-0.009371
525,2014,0,0.847432,0.462494,0.630683,2.7077,0.037753,0.102223,0.059512,0.16925,0.634371,9.505274,2.246244,0.0055,0.094355,0.098196,-0.950307,0.040698,0.037267,0.276525,0.039764,0.034659
528,2014,0,2.003397,1.51641,0.561288,2.279398,0.009286,0.021166,0.018765,0.219356,0.49483,2.967052,2.27769,0.0085,0.540269,0.089243,-0.097424,-0.078291,0.033353,0.12417,0.085112,0.016937
530,2014,0,1.42697,1.091098,0.324261,1.479862,0.037499,0.055493,0.080324,0.237891,0.466846,3.248526,3.450691,-0.016,0.507263,-0.31386,-0.341766,0.029164,0.050398,0.135659,0.130251,-0.004289
531,2014,0,0.958377,0.700572,0.535875,2.154593,0.105837,0.228036,0.180467,0.326109,0.586464,22.93796,4.824048,-0.0909,0.593286,-0.350569,-0.431555,-0.106671,0.009749,0.412337,0.037531,0.039585
541,2014,0,4.167536,3.03854,0.171864,1.207531,0.071364,0.086174,0.0869,0.267736,0.821216,9.501859,3.59072,0.0373,1.785519,-0.123641,-1.296019,0.107572,0.050075,0.123978,0.076983,-0.003117
551,2014,0,1.320266,0.830274,0.463045,1.862352,0.023936,0.044578,0.034557,0.254715,0.692652,4.769388,2.532191,0.0378,0.322322,-0.087741,-0.762036,-0.041464,0.051018,0.290843,0.135079,0.016458
559,2014,0,1.351364,1.060664,0.633816,2.73087,0.065718,0.179468,0.079587,0.222041,0.825737,5.555735,4.534161,0.0931,0.457276,0.182776,0.163464,0.221753,0.015467,0.232115,0.08809,0.017975
565,2014,0,1.76568,1.358339,0.331116,1.495027,0.046775,0.06993,0.080653,0.227613,0.579955,5.585123,3.850021,-0.0199,0.340997,0.327845,-0.750653,-0.020005,0.024508,0.249431,0.122693,0.022238
570,2014,0,1.617477,1.164232,0.38324,1.621376,0.020737,0.033622,0.026376,0.133638,0.786221,6.651234,4.33503,-0.045,0.423344,-0.071424,-0.195647,0.027396,0.03298,0.180873,0.05864,-0.004391
571,2014,0,0.845781,0.727516,0.354891,1.550126,0.021594,0.033473,0.101314,0.342884,0.213137,6.012587,4.450271,-0.1465,0.336112,0.195328,-1.32527,0.339564,0.069268,0.136154,0.166157,0.005132
581,2014,0,2.708428,2.312359,0.222622,1.286375,0.109678,0.141087,0.250072,0.254038,0.438585,5.268595,4.264039,0.0384,0.722624,-0.101249,-0.240303,0.108179,0.025114,0.093159,0.102085,-0.003903
589,2014,0,1.109046,0.881668,0.612106,2.578026,0.017161,0.044241,0.030014,0.201404,0.571763,3.975118,3.981324,0.0539,0.289734,0.084433,-0.104767,0.285129,0.033679,0.316773,0.068298,0.029011
592,2014,0,2.45575,0.831959,0.333412,1.500177,0.0358,0.053707,0.088817,0.191307,0.403082,5.045148,0.641522,-0.0381,0.206672,0.415529,0.135898,0.174313,0.013627,0.11493,0.062533,0.023696
599,2014,0,1.16766,0.893583,0.504491,2.018128,0.011515,0.02324,0.014623,0.144726,0.787495,5.380315,5.194822,0.0339,0.280317,-0.249323,0.097758,0.030635,0.05182,0.367452,0.061336,0.019925
615,2014,0,0.633144,0.446346,0.47627,1.909381,0.010559,0.02016,0.022664,0.119521,0.465864,17.071106,5.182929,0.0627,0.271827,-0.108855,-0.993821,0.238796,0.088175,0.231973,0.06716,0.031197
639,2014,0,1.818641,1.377771,0.344343,1.525188,0.063182,0.096365,0.06282,0.276585,1.005763,15.953342,4.887002,0.1099,1.085059,-0.129193,-0.448113,0.294672,0.053478,0.329823,0.051783,0.005845
682,2014,0,1.741417,1.143586,0.435378,1.771096,0.03505,0.062077,0.059146,0.357142,0.592605,2.798761,1.56173,0.0036,0.278869,0.264985,0.867198,0.159464,0.032422,0.150829,0.164097,0.00259
