模型,样本索引,真实标签,预测标签,预测概率
决策树,0,0,1,1.0
决策树,1,0,1,0.8333333333333334
决策树,2,0,0,0.0
决策树,3,0,0,0.3333333333333333
决策树,4,1,0,0.16666666666666666
决策树,5,0,0,0.0
决策树,6,1,0,0.0
决策树,7,0,1,0.5555555555555556
决策树,8,0,0,0.0
决策树,9,0,0,0.0
决策树,10,0,0,0.0
决策树,11,0,0,0.16666666666666666
决策树,12,0,0,0.0
决策树,13,0,1,0.8333333333333334
决策树,14,0,1,0.8333333333333334
决策树,15,0,0,0.0
决策树,16,0,0,0.0
决策树,17,0,0,0.0
决策树,18,0,0,0.0
决策树,19,0,0,0.0
决策树,20,0,0,0.0
决策树,21,0,0,0.0
决策树,22,0,0,0.0
决策树,23,0,0,0.42857142857142855
决策树,24,0,0,0.2
决策树,25,0,0,0.45454545454545453
决策树,26,0,0,0.0
决策树,27,0,1,0.8333333333333334
决策树,28,0,0,0.2727272727272727
决策树,29,0,0,0.0
决策树,30,0,0,0.0
决策树,31,0,1,0.5714285714285714
决策树,32,0,0,0.3333333333333333
决策树,33,0,0,0.0
决策树,34,0,1,1.0
决策树,35,0,0,0.2
决策树,36,1,0,0.0
决策树,37,1,0,0.0
决策树,38,0,0,0.0
决策树,39,0,0,0.0
决策树,40,0,1,0.8333333333333334
决策树,41,0,0,0.0
决策树,42,0,1,1.0
决策树,43,0,1,1.0
决策树,44,0,0,0.0
决策树,45,0,0,0.0
决策树,46,0,1,1.0
决策树,47,0,1,1.0
决策树,48,0,0,0.0
决策树,49,0,0,0.0
决策树,50,0,0,0.16666666666666666
决策树,51,0,0,0.0
决策树,52,0,0,0.0
决策树,53,0,1,0.6666666666666666
决策树,54,0,0,0.3333333333333333
决策树,55,0,0,0.1
决策树,56,0,0,0.0
决策树,57,0,0,0.5
决策树,58,0,1,1.0
决策树,59,0,0,0.0
决策树,60,1,0,0.0
决策树,61,1,0,0.0
决策树,62,0,1,0.8763636363636363
决策树,63,0,0,0.0
决策树,64,0,0,0.0
决策树,65,0,0,0.14285714285714285
决策树,66,0,0,0.0
决策树,67,0,0,0.0
决策树,68,0,0,0.0
决策树,69,0,0,0.0
决策树,70,0,1,0.9701492537313433
决策树,71,0,0,0.0
决策树,72,0,0,0.0
决策树,73,0,0,0.0
决策树,74,0,0,0.0
决策树,75,0,0,0.0
决策树,76,0,0,0.0
决策树,77,1,0,0.0
决策树,78,0,0,0.0
决策树,79,0,1,1.0
决策树,80,0,0,0.0
决策树,81,0,0,0.0
决策树,82,0,0,0.0
决策树,83,0,0,0.0
决策树,84,1,1,1.0
决策树,85,0,0,0.0
决策树,86,0,0,0.0
决策树,87,0,0,0.0
决策树,88,0,1,1.0
决策树,89,0,1,1.0
决策树,90,1,0,0.0
决策树,91,0,0,0.1
决策树,92,0,0,0.0
决策树,93,0,0,0.3333333333333333
决策树,94,1,0,0.2727272727272727
决策树,95,0,0,0.09090909090909091
决策树,96,0,0,0.0
决策树,97,0,0,0.0
决策树,98,0,0,0.0
决策树,99,0,0,0.0
决策树,100,0,0,0.0
决策树,101,0,0,0.1111111111111111
决策树,102,1,0,0.0
决策树,103,0,0,0.0
决策树,104,0,1,0.6666666666666666
决策树,105,0,0,0.1
决策树,106,0,0,0.0
决策树,107,0,0,0.0
决策树,108,0,0,0.0
决策树,109,0,1,1.0
决策树,110,0,0,0.0
决策树,111,0,0,0.3333333333333333
决策树,112,1,0,0.0
决策树,113,0,0,0.0
决策树,114,0,1,1.0
决策树,115,0,0,0.3333333333333333
决策树,116,1,1,0.6666666666666666
决策树,117,0,0,0.5
决策树,118,0,0,0.0
决策树,119,0,1,1.0
决策树,120,1,0,0.0
决策树,121,0,0,0.0
决策树,122,0,1,1.0
决策树,123,1,0,0.0
决策树,124,0,1,1.0
决策树,125,0,1,1.0
决策树,126,0,0,0.0
决策树,127,0,0,0.0
决策树,128,1,1,0.7903225806451613
决策树,129,0,0,0.0
决策树,130,0,0,0.2
决策树,131,0,0,0.0
决策树,132,0,0,0.0
决策树,133,0,0,0.0
决策树,134,0,0,0.0
决策树,135,0,0,0.0
决策树,136,0,1,0.9105691056910569
决策树,137,0,0,0.0
决策树,138,0,0,0.0
决策树,139,0,0,0.0
决策树,140,0,0,0.0
决策树,141,0,1,0.6666666666666666
决策树,142,0,0,0.0
决策树,143,0,1,0.7903225806451613
决策树,144,0,0,0.14285714285714285
决策树,145,0,0,0.0
决策树,146,0,0,0.023255813953488372
决策树,147,0,0,0.0
决策树,148,0,0,0.0
决策树,149,0,1,0.7903225806451613
决策树,150,0,0,0.0
决策树,151,1,0,0.0
决策树,152,1,0,0.21739130434782608
决策树,153,0,0,0.0
决策树,154,0,1,1.0
决策树,155,0,0,0.0
决策树,156,0,0,0.0
决策树,157,0,1,0.7142857142857143
决策树,158,0,0,0.0
决策树,159,0,0,0.0
决策树,160,0,0,0.0
决策树,161,0,0,0.3333333333333333
决策树,162,0,0,0.0
决策树,163,0,0,0.0
决策树,164,0,0,0.0
决策树,165,0,1,0.8333333333333334
决策树,166,1,0,0.3333333333333333
决策树,167,0,0,0.16666666666666666
决策树,168,0,0,0.0
决策树,169,0,0,0.0
决策树,170,0,0,0.0
决策树,171,1,1,1.0
决策树,172,0,0,0.0
决策树,173,0,0,0.0
决策树,174,0,0,0.0
决策树,175,0,0,0.0
决策树,176,0,0,0.0
决策树,177,0,1,1.0
决策树,178,0,1,0.9105691056910569
决策树,179,0,0,0.0
决策树,180,1,0,0.0
决策树,181,0,0,0.0
决策树,182,0,0,0.0
决策树,183,0,0,0.0
决策树,184,0,0,0.0
决策树,185,0,1,0.7903225806451613
决策树,186,0,0,0.0
决策树,187,0,0,0.0
决策树,188,0,0,0.0
决策树,189,0,1,0.9701492537313433
决策树,190,0,1,0.8333333333333334
决策树,191,0,1,0.6666666666666666
决策树,192,0,0,0.0
决策树,193,0,0,0.5
决策树,194,0,0,0.0
决策树,195,0,0,0.0
决策树,196,0,1,1.0
决策树,197,1,0,0.3333333333333333
决策树,198,0,0,0.0
决策树,199,0,0,0.0
决策树,200,0,0,0.0
决策树,201,0,0,0.0
决策树,202,0,0,0.0
决策树,203,0,0,0.0
决策树,204,0,0,0.42857142857142855
决策树,205,0,0,0.0
决策树,206,0,0,0.0
决策树,207,0,0,0.36363636363636365
决策树,208,0,0,0.0
决策树,209,0,1,0.7903225806451613
决策树,210,0,0,0.16666666666666666
决策树,211,0,0,0.023255813953488372
决策树,212,0,0,0.0
决策树,213,0,0,0.0
决策树,214,0,0,0.0
决策树,215,0,0,0.0
决策树,216,0,0,0.18181818181818182
决策树,217,0,0,0.0
决策树,218,0,0,0.0
决策树,219,0,0,0.0
决策树,220,0,0,0.0
决策树,221,0,0,0.3333333333333333
决策树,222,0,0,0.0
决策树,223,0,0,0.5
决策树,224,0,0,0.0
决策树,225,0,0,0.0
决策树,226,0,0,0.16666666666666666
决策树,227,0,0,0.0
决策树,228,0,0,0.16666666666666666
决策树,229,0,0,0.0
决策树,230,1,0,0.0
决策树,231,0,1,1.0
决策树,232,0,0,0.0
决策树,233,0,1,0.8333333333333334
决策树,234,0,0,0.0
决策树,235,0,0,0.0
决策树,236,0,0,0.0
决策树,237,0,0,0.0
决策树,238,0,0,0.07407407407407407
决策树,239,1,0,0.5
决策树,240,1,0,0.0
决策树,241,0,0,0.0
决策树,242,0,1,0.875
决策树,243,0,0,0.0
决策树,244,0,0,0.0
决策树,245,0,0,0.0
决策树,246,0,0,0.0
决策树,247,0,0,0.0
决策树,248,0,1,0.7142857142857143
决策树,249,0,0,0.0
决策树,250,0,0,0.0
决策树,251,0,1,1.0
决策树,252,0,0,0.4222222222222222
决策树,253,0,0,0.16666666666666666
决策树,254,0,1,0.8333333333333334
决策树,255,0,0,0.0
决策树,256,0,0,0.5
决策树,257,0,1,1.0
决策树,258,0,1,1.0
决策树,259,0,0,0.0
决策树,260,0,1,0.8763636363636363
决策树,261,0,0,0.0
决策树,262,0,1,1.0
决策树,263,0,1,0.6666666666666666
决策树,264,0,0,0.18181818181818182
决策树,265,1,0,0.0
决策树,266,0,0,0.0
决策树,267,0,0,0.0
决策树,268,0,0,0.1111111111111111
决策树,269,0,0,0.25
决策树,270,0,0,0.0
决策树,271,0,0,0.0
决策树,272,0,1,0.8
决策树,273,0,1,0.8333333333333334
决策树,274,0,0,0.0
决策树,275,0,0,0.0
决策树,276,0,0,0.3333333333333333
决策树,277,0,1,0.6
决策树,278,0,0,0.0
决策树,279,0,0,0.0
决策树,280,0,0,0.3333333333333333
决策树,281,0,0,0.0
决策树,282,1,0,0.0
决策树,283,0,0,0.5
决策树,284,0,0,0.3333333333333333
决策树,285,0,0,0.0
决策树,286,0,1,0.6666666666666666
决策树,287,0,0,0.0
决策树,288,0,0,0.0
决策树,289,0,0,0.0
决策树,290,0,0,0.0
决策树,291,0,1,0.6666666666666666
决策树,292,0,0,0.0
决策树,293,0,1,1.0
决策树,294,0,0,0.14285714285714285
决策树,295,0,0,0.16666666666666666
决策树,296,0,0,0.0
决策树,297,0,0,0.0
决策树,298,1,0,0.0
决策树,299,0,0,0.0
决策树,300,0,0,0.0
决策树,301,0,0,0.0
决策树,302,0,1,1.0
决策树,303,1,0,0.0
决策树,304,0,0,0.0
决策树,305,0,0,0.0
决策树,306,1,0,0.0
决策树,307,0,0,0.0
决策树,308,0,0,0.0
决策树,309,0,0,0.0
决策树,310,0,0,0.0
决策树,311,0,0,0.0
决策树,312,0,0,0.0
决策树,313,0,0,0.0
决策树,314,0,0,0.0
决策树,315,0,0,0.0
决策树,316,0,0,0.18181818181818182
决策树,317,0,0,0.125
决策树,318,0,0,0.0
决策树,319,0,1,0.8571428571428571
决策树,320,0,0,0.16666666666666666
决策树,321,0,0,0.3333333333333333
决策树,322,0,1,1.0
决策树,323,0,0,0.0
决策树,324,0,0,0.0
决策树,325,0,0,0.0
决策树,326,0,1,1.0
决策树,327,0,0,0.5
决策树,328,0,0,0.4444444444444444
决策树,329,0,0,0.0
决策树,330,0,0,0.16666666666666666
决策树,331,0,0,0.07407407407407407
决策树,332,0,0,0.0
决策树,333,0,1,1.0
决策树,334,1,1,0.8333333333333334
决策树,335,0,1,1.0
决策树,336,0,0,0.0
决策树,337,0,0,0.0
决策树,338,0,0,0.42857142857142855
决策树,339,0,0,0.16666666666666666
决策树,340,0,0,0.0
决策树,341,0,0,0.0
决策树,342,0,0,0.0
决策树,343,0,0,0.5
决策树,344,0,0,0.0
决策树,345,0,1,1.0
决策树,346,0,0,0.0
决策树,347,0,0,0.3333333333333333
决策树,348,0,0,0.0
决策树,349,0,0,0.0
决策树,350,0,0,0.14285714285714285
决策树,351,0,0,0.3333333333333333
决策树,352,0,1,0.85
决策树,353,0,0,0.0
决策树,354,0,0,0.0
